CLIENTNUM,Credit_Limit,Total_Trans_Amt
715352883,24904,5176
826410708,22956,5554
715118058,20274,5274
715948833,24931,5031
750147483,24299,5320
711286533,13448,5067
715276683,24287,5495
789948408,34516,5220
713876958,14140,5036
716841783,18733,5080
716013858,20231,5002
803097333,10873,5089
783500283,29100,5041
806428908,13397,5049
718048608,15292,5120
715395933,11238,5302
709296558,18551,5364
778236858,11794,5547
718142958,21839,5623
781942983,17827,5010
807604233,11114,5044
717684858,22304,5002
716968683,11287,5157
819612933,25410,5472
719601708,10699,5052
778143183,11773,5098
811889808,23459,7279
715091208,18177,8512
713487633,34516,7663
789363408,34516,7427
713916708,34516,7758
717756258,16494,7761
772313358,21322,8693
716288208,15618,7549
718712583,34496,8092
768848658,16583,7823
711542358,15987,7471
714042108,11000,7302
713894358,34516,7889
713664258,14344,7359
718078008,20304,7494
779018508,11318,7179
718320933,11919,8257
708474333,12294,7906
717244683,21922,7409
711410958,13452,7582
799711833,24735,7910
711082908,19719,8385
721190358,29690,7640
714754533,34516,8012
714713508,25178,7836
809169858,18224,7728
718379358,34516,8453
708907833,24965,7866
708693558,12569,7344
718665933,34516,7437
715851333,13804,7376
721212258,30210,7403
819975183,17077,7391
720712533,34516,7499
709861008,27720,8520
713911233,18341,7584
712580958,27712,7399
711764733,19704,7766
794124708,21325,7053
780707733,34516,6832
720849708,14388,7042
719658858,34516,7042
712029783,34516,7836
718893333,18336,7509
718567758,10682,7332
714166833,13609,7796
789681708,34516,7750
713102733,15987,8195
812408058,34516,7845
787226508,20811,7192
713537733,34516,7582
709235058,18956,8032
714786483,13445,7377
719787633,34516,7535
713697933,34516,7827
712208658,13165,8126
717521508,34516,6932
712405908,24670,7772
789298833,23453,7555
715729683,34516,7936
712266633,14800,8796
721468533,12265,7470
720167508,19000,7664
711152658,34516,7219
771772083,13197,8424
709372608,23457,7370
711136008,31560,7641
812618883,34516,7774
715908558,29572,7566
719784708,26882,7409
712453308,15034,7737
720859533,12214,8426
789556533,23070,8070
792524358,34516,7917
716871633,12055,7222
718491708,16592,7642
787502883,34516,7443
715183308,33184,7190
713872833,10753,7302
717248583,11362,7849
713087958,34516,7919
721495458,20001,8094
715599633,34516,7686
717397983,23402,7570
772404633,34516,7734
713302758,14646,8160
717859233,12578,8362
789175683,10741,8352
818476383,34516,7333
708153558,34516,7936
717340608,34516,7703
719607183,21046,7653
715839708,34516,7111
788240358,33441,8452
709238358,19387,7604
708968733,31987,7926
740065833,11128,8526
718189908,23981,7885
780064983,34516,7665
770920908,22054,8055
772869033,34516,7283
708877458,11343,8027
787496733,15155,7724
789469083,10795,7855
720412308,34516,7635
719178183,34516,8186
789560433,14895,5147
715360458,12406,8113
779263533,32292,7564
773988708,34516,7512
719623083,15987,8302
711128433,10949,7685
789960783,10398,7702
709556208,22361,7586
794482158,34516,7594
710016708,10877,7974
778716783,11552,7180
712447758,11901,7998
778430733,12399,7855
717583908,15030,7603
721227258,34516,7520
717600483,23223,7358
719121708,31497,7685
711550983,11343,8313
788824083,34516,8202
719157933,10984,7850
716704158,34516,8087
716258358,23058,7009
827904183,17606,8104
820394733,34516,7690
716574033,18000,7149
709838508,34516,7167
711370458,15016,7685
716745408,12813,7803
788916933,34516,8095
761818758,11210,7206
714422058,31639,7119
712191783,34516,7788
716319258,34516,7360
712351908,26438,8029
708160008,34516,7412
709269708,34516,7281
779098308,15048,7592
775112958,11548,7781
718100808,15987,7395
772430733,34516,7168
713460258,19107,8987
820036533,34516,7223
719785683,21751,8332
718306308,27984,8147
772725408,24499,7667
710596983,27318,7481
717382608,26692,8780
825767658,34516,7711
717513933,14938,7385
789186858,33256,7796
717658758,34516,7962
715396983,17698,8056
712624383,34516,7707
713761608,34516,8450
720422358,34516,7485
789304983,22226,8753
779257233,28852,7432
778439883,26840,7969
711559008,11642,9137
710395233,34516,8657
780108408,34516,7745
719677758,10830,8814
794191008,34516,7552
708905733,20633,7570
751974258,11954,7345
805516608,34516,7755
718889508,10074,8256
824799108,10901,7498
713133258,34516,8872
717370533,34516,6453
712948383,34516,7396
712839633,34516,8871
820330008,32926,8231
826150608,18072,8199
779187783,24533,8436
714054408,12889,8272
801064833,30117,7930
714510483,34516,7640
718246458,24262,8241
710822808,34516,7854
709722858,20708,8503
714999483,34516,9389
711388458,17072,8591
796174983,25737,7722
715459158,16950,7821
712687083,15043,7234
812443458,25808,7794
717559533,34516,8212
709770408,34516,8652
770705208,15365,7890
779548008,34516,7745
711742758,11508,5242
711947358,18991,7716
814760358,14627,7766
718977483,25736,7209
808287408,29227,8420
709619433,34516,8604
708881583,12458,8752
717696333,34516,5425
820587258,10677,8637
779779083,23981,7872
804601833,34516,7491
714823308,15987,7345
716806383,28307,9042
718756533,13356,8963
709530408,34516,8007
718353633,34516,5547
718528833,30172,8879
710569233,11814,9185
718694658,28687,7523
779293308,25653,8305
712654233,19150,8327
719296383,34516,7885
808279158,11765,8914
780497958,16627,7996
715519983,13553,8751
708568983,11476,8110
716837508,18477,8695
720522633,16199,8150
712938258,12695,8328
709046958,30379,9059
711364233,34516,8888
708428958,34516,9179
719714658,12218,5272
720874983,34516,8736
719180958,21754,9105
823848183,15987,8438
783121008,12094,8285
708500883,17812,8379
811965558,13743,9406
714383583,23981,8646
809425533,15785,8097
812534958,19000,8443
714052158,11714,5366
780200208,11135,8777
711458583,34516,8582
826451433,34516,8502
719740983,13259,8998
710213508,23355,8634
710814633,20734,8888
712268808,34516,8765
779805408,14630,8217
720698883,28605,5524
714190983,34516,5418
713808633,10850,13794
710295858,24244,8074
713209308,17218,7971
788709408,14746,14771
717757608,34516,8938
715300683,34458,8271
711436983,34516,8596
790168083,22741,8438
770848308,34516,8773
713486583,17277,8838
708697983,34516,8766
823539558,33565,8360
711339258,20176,8255
755212608,13067,5468
771674958,11529,8135
799468083,11467,14373
718993533,15821,8927
713870958,34516,8416
709171308,15795,13173
713236458,18980,8295
714352533,15472,14132
717353433,21498,13015
713552958,12773,14833
815613033,12518,14276
711814608,19281,15423
720174033,34516,12871
820666083,27742,8646
712044558,14563,6408
713131158,10286,8199
789535233,34516,11603
716441058,14416,13820
718113633,34516,5603
708908883,12033,12603
712152408,34516,12478
720086358,12648,14465
710833908,25601,12896
714449283,25428,13360
779349783,21161,13119
709319658,15987,7681
715551783,24927,14603
783361533,33889,14954
717942033,33552,14490
817908783,34516,14242
713708358,19594,12429
789551883,14803,14426
717580458,19333,7847
780551733,11605,12592
712464933,19141,15203
713869083,29394,14901
711465333,24250,12593
719924433,16191,13452
719413383,33711,14880
712990458,31699,13653
708369633,15487,7031
721114458,34516,14319
714959358,34516,8045
719593608,33870,7661
715830558,34516,7454
716406483,23760,13124
716088783,29239,8169
712768983,34516,8629
711108408,17540,14244
717565233,31346,13303
720943308,30498,16202
714425283,19962,14703
709406733,20434,13280
708572658,29531,15039
712833633,10688,13866
708863733,22725,13847
712412958,18266,14615
720535008,10492,13764
709373883,19055,15091
716106108,34516,13376
717177783,13313,15549
711010683,14382,12941
714759708,10798,13681
718801158,23981,14455
712256358,22729,13672
779803008,27670,13854
771584658,33874,13753
770970558,13679,15180
758863383,14767,13090
716863458,34516,8570
773283108,32535,15738
788687133,16433,13678
820108008,12174,14743
716247708,34516,14149
714968208,18046,13758
719324658,34516,14716
712367658,22104,13830
803655333,29038,12025
711328458,34516,13988
708123033,11463,14511
710745633,19252,14074
710374008,34516,12906
715017858,34516,14465
716201883,34516,14696
714593883,12100,13138
711003483,20466,15121
819628158,17887,14544
712021233,23399,9356
708573933,13026,14747
710758683,15698,12980
708873183,17575,15473
766224933,29528,14428
771626283,34516,15033
712916958,12494,7026
716124408,34516,7486
714128283,13411,12493
708163758,34516,13085
716979183,17646,15527
716480358,11121,13814
716323683,32791,13177
771069033,10602,14084
710300733,34516,13781
713758758,14581,17628
816310158,12375,14500
780349833,23981,15236
818235408,19534,15634
709213458,22993,7867
719634408,34516,13534
709934808,15164,13062
711813258,34516,13633
789983133,34516,14185
718123608,25438,16485
716340783,21526,14441
717898758,12207,5838
825743583,32089,13796
818239983,15594,13016
712544358,34516,15552
721488858,32417,14381
708662583,27945,8345
717663033,34516,16428
788778033,12338,15869
708649683,16703,15472
708770883,16667,15301
708152358,18512,8019
719210133,14131,12779
719719158,34516,15584
718758783,13067,15172
709075533,12094,8607
712952283,34516,14474
718799958,13312,14336
789550458,15223,14230
708226833,34516,13247
719773158,29738,14270
770560683,34516,13021
788766933,34516,14279
709928358,32554,8528
720471108,32056,12595
718192608,15524,13819
780604083,18349,16422
718728108,29856,14887
710019933,11522,13720
717439983,14774,8293
714391683,34516,8248
708841233,14682,8193
719610708,28612,14727
711706458,24134,13311
712180308,27929,14755
788671608,23051,14393
718023708,14839,14625
713632983,10588,7886
711008508,11808,13751
815230458,15504,14181
719612583,12091,8127
709514433,13818,13209
718661958,34516,13083
788980983,34516,12192
721171008,10353,15028
718333983,13694,9040
756639708,32587,15958
713686008,11474,13041
713475633,34516,14204
712532058,12552,15508
789666333,21679,15581
711422358,10531,14955
767023308,34516,12847
789289383,34516,14626
708805908,10017,9299
710155158,31832,10201
714403983,34427,13545
720353808,34516,9177
710362233,34516,13853
771484908,34516,14969
712895733,34516,8659
719629308,34516,8472
754443033,34516,9045
826065258,19033,16033
720512433,15219,7625
713671158,34516,15754
809540733,11358,14327
710262408,34516,13971
789394833,21714,13270
712123008,13381,14532
720033033,15101,13545
713390433,34516,6782
719094333,13490,13159
813764283,17978,15657
794692158,17328,15367
721156758,23889,13360
811793433,34516,15071
719420058,11782,16605
721294533,34516,15143
718425333,26819,14450
712341933,34516,13578
708354858,14938,8192
766649283,14072,13432
817951083,15928,14678
708301683,20798,8038
712113558,24844,6549
712025958,34516,14672
794740458,10186,14023
709814883,15987,15513
719767683,16983,8526
715321008,34516,7866
710106933,34516,14667
716655858,34516,14036
713986908,10748,16541
780042633,31718,7432
713868033,34516,16373
708103608,11898,15798
789684258,34516,7842
779067408,13056,14280
712231308,14002,13849
769396158,24884,5107
793449333,29974,15190
710873583,20724,14215
718486608,21079,13930
715113933,11077,8165
711160233,12024,14551
709615458,34516,15034
719955558,11511,14436
713072358,34516,12878
721402233,19192,15615
784868958,17542,13939
710845308,32949,14892
719368533,32250,15785
718337733,34516,14994
715132758,23981,15281
804158583,13399,16493
715076358,23714,8463
709013208,15594,16101
715645908,34516,8480
721290708,14217,15554
712107783,17350,16132
818960133,13784,13120
778643733,23981,9140
768457008,10284,13355
794494308,34516,13781
710980383,34516,6361
717992433,11900,14666
715600533,34516,13722
794132808,13035,14585
720565458,17306,6205
715496058,15987,7832
709015833,34516,12920
718612758,34516,15552
716238483,12918,9138
710535708,15894,14256
794573883,17894,15305
790201158,13062,13609
779685558,34516,15290
710667708,12510,14018
718979733,23712,16258
793560033,34516,16369
709066983,34516,15214
712390683,13409,15573
826245858,34516,7661
709467183,20501,15162
710529708,23260,15140
712363158,20101,14732
711600033,10729,14364
709910733,34516,13174
757291008,34516,8964
819376683,28570,15130
720458883,12495,14524
708963258,13344,8534
711746133,32563,9220
708522033,12299,15060
717464958,10858,14475
751166508,34516,14287
716457783,12633,14378
710810883,34516,14576
718578708,34516,14212
718316058,13731,14826
710244108,34516,13967
806649333,16998,13977
789280683,11714,13956
712441308,29295,9865
709315383,26423,13575
758331483,34516,15347
715825458,12933,6564
708248358,29937,14863
715989108,27514,12841
714912408,32275,14917
715052583,27494,14375
711523533,17230,14781
756658083,30885,17350
713242383,34516,7721
717135333,17970,13204
716150358,10343,14805
803968233,14386,13377
779914383,10488,14719
712841883,34516,7155
719582058,24001,9102
717251508,34516,14127
709141908,10301,16359
720356133,23939,14812
717788958,21615,16464
711096633,12203,8600
716816583,15483,14463
719841708,20356,15180
809147283,15987,15058
708197358,30543,7784
820922733,34516,14160
712863183,10018,13819
778825908,10272,14321
710232483,19846,16908
803421108,20701,14374
717291333,16722,15110
714928158,34516,13434
708385533,11059,9524
719379858,24239,8549
710803983,32222,14220
719768658,34516,14544
711355908,34516,12042
813153108,31091,14565
753220383,11722,8302
715573758,34516,15226
794530608,27229,13264
718376583,34516,5806
708948483,34516,8444
716721483,14458,8696
799011558,16909,15740
709996833,12359,7528
718774533,15355,15053
712337208,23731,13647
714022833,17909,5977
710178558,34516,9314
768712383,34516,8173
720163458,28043,14521
826148883,16453,14762
713118183,13427,13117
714145233,34516,5112
719547033,23502,7957
715269483,17374,15473
789780033,34516,14202
711663858,20030,15862
721395633,18591,15063
721086483,10982,13563
709969758,34516,13966
801502008,20144,14287
819051183,16349,16207
710858658,10610,15050
716151858,12932,15372
712374708,23103,14049
721145433,11280,16237
711398433,16565,16736
715601808,34516,16692
717324183,14305,14769
719430483,34516,14145
758753283,34516,7341
716933283,34516,14738
721459008,11791,14885
710639658,17744,9658
710710233,34516,15560
708996708,21032,15584
713315433,18571,15802
789890958,10948,16230
714757083,29076,8765
789237333,20237,15041
714949758,34516,16712
714136233,34516,8417
710923533,34516,15611
709385133,14828,15572
712846458,14290,14709
718665033,34140,8177
771561183,13753,7464
719439108,15315,14728
720817533,12086,15559
813901458,34516,14954
789074358,10325,16856
712036383,18418,9980
720385608,20958,14314
711283008,34516,16019
778873608,34516,14335
708821733,19713,8301
772596783,15261,15442
806917983,33779,15200
719329983,15648,13784
710679933,15633,8660
710849208,34516,14738
710056758,10017,15635
766769058,22722,15817
716990883,16033,15260
718298733,12978,14134
715756683,14804,15237
719400108,34516,14319
708245808,19671,13908
799253808,34516,13845
720995583,25217,15054
713668158,21067,9212
717081483,25187,16606
708974283,18142,15427
713399583,29865,8636
714785508,34516,15154
718496283,30770,15998
779140533,27124,15195
716619558,13747,16401
788633733,28174,16258
715291908,11109,13988
720539583,21226,14103
711289533,26710,14043
710590683,16127,7729
717482658,18022,14485
712246983,16748,15338
711460458,10973,10583
713159133,14143,13785
710047533,34516,8614
712766208,34516,8603
715150983,26021,8898
797641683,14840,16256
720105933,11427,15243
804670758,20974,15903
824160333,23362,15399
717928308,13669,15772
788890533,34516,13756
718140783,10585,18484
714465558,34516,15033
715199808,33905,15335
759584958,33004,10156
758802333,20891,14641
720237408,22715,15004
809589783,16268,13969
778444908,34516,16392
768728508,15987,14209
712509108,15164,8356
711745233,13894,9351
778745058,34516,15059
769206483,15733,13986
769587258,30082,15240
712457208,22718,8100
709589208,17721,14409
773185833,34516,15095
778956033,34516,15151
712260633,26923,13643
714945708,15977,7745
720971358,26812,14838
715545933,22355,14268
714524583,23240,9441
714199008,16081,6100
715544883,14135,13703
710122458,31546,15311
713833233,34516,15134
711686658,34516,16579
780097533,10292,15148
715020933,15944,9360
789497283,34162,7572
715268508,23981,14840
717355533,34516,13759
712128258,13704,15872
709831983,34516,15176
716850558,34516,15279
779900808,21551,14950
715713408,15987,15853
770038983,28831,8688
710066133,12833,9619
718043583,21794,15111
718614183,13651,9772
709865883,26794,8788
766273533,17190,15055
718655808,12944,16161
747551658,34516,15930
713281833,13589,9456
772721208,17655,16293
709398708,16268,15925
715090008,28564,14875
788230158,16496,16715
717714633,14938,15277
824150733,34516,16177
709188108,34516,13940
712296408,12958,15681
719574033,21906,15349
789023508,34516,15490
710005683,12540,16518
716644008,34516,9931
719848008,29808,16098
717185658,22754,8531
715474083,29663,14638
713924283,11859,8930
714471183,17504,10468
718225683,34516,15274
708564858,34516,9338
713733633,13303,10219
714109308,13187,15354
712503408,17925,17498
716893683,14657,6009
710841183,13940,15577
714337233,10388,10294
